Code,Country Name,Population,Urban_Population
CHE,Switzerland,8516543,6284953
SYR,Syrian Arab Republic,16906283,9156781
TJK,Tajikistan,9100837,2469421
TZA,Tanzania,56318348,19022085
THA,Thailand,69428524,34678853
TLS,Timor-Leste,1267972,387720
TGO,Togo,7889094,3289910
TON,Tonga,103197,23870
TTO,Trinidad and Tobago,1389858,739182
TUN,Tunisia,11565204,7973630
TUR,Turkey,82319724,61857510
TKM,Turkmenistan,5850908,3018659
TCA,Turks and Caicos Islands,37665,35065
TUV,Tuvalu,11508,7179
UGA,Uganda,42723139,10156999
UKR,Ukraine,44622516,30946607
ARE,United Arab Emirates,9630959,8332898
GBR,United Kingdom,66488991,55450489
USA,United States,327167434,269114845
URY,Uruguay,3449299,3288355
UZB,Uzbekistan,32955400,16635227
VUT,Vanuatu,292680,73972
VEN,"Venezuela, RB",28870195,25465822
VNM,Vietnam,95540395,34317154
VIR,Virgin Islands (U.S.),106977,102399
PSE,West Bank and Gaza,4569087,3479999
YEM,"Yemen, Rep.",28498687,10442489
ZMB,Zambia,17351822,7551686
ZWE,Zimbabwe,14439018,4650663
ARB,Arab World,419790588,247363361
CSS,Caribbean small states,7358965,3767742
CEB,Central Europe and the Baltics,102511922,63897809
EAR,Early-demographic dividend,3249140605,1466377985
EAS,East Asia & Pacific,2328220870,1374879347
EAP,East Asia & Pacific (excluding high income),2081651801,1158097589
TEA,East Asia & Pacific (IDA & IBRD countries),2056064424,1142248481
EMU,Euro area,341783171,263144784
ECS,Europe & Central Asia,918793590,661885465
ECA,Europe & Central Asia (excluding high income),417797257,278468939
TEC,Europe & Central Asia (IDA & IBRD countries),459865205,303606886
EUU,European Union,513213363,388326219
FCS,Fragile and conflict affected situations,515215936,213083870
HPC,Heavily indebted poor countries (HIPC),780234406,280950435
HIC,High income,1210312147,984376811
IBD,IBRD only,4772284113,2625349359
IBT,IDA & IBRD total,6412522234,3232404453
IDB,IDA blend,555830605,235563372
IDX,IDA only,1084407516,371491722
IDA,IDA total,1640238121,607055094
LTE,Late-demographic dividend,2288665963,1429159724
LCN,Latin America & Caribbean,641357515,516796961
LAC,Latin America & Caribbean (excluding high income),609013934,489657102
TLA,Latin America & the Caribbean (IDA & IBRD countries),625569713,504218023
LDC,Least developed countries: UN classification,1009662578,338924137
LMY,Low & middle income,6383958209,3211979837
LIC,Low income,705417321,229769967
LMC,Lower middle income,3022905169,1224515091
MEA,Middle East & North Africa,448912859,293463198
MNA,Middle East & North Africa (excluding high income),382896715,235828183
TMN,Middle East & North Africa (IDA & IBRD countries),378327628,232348184
MIC,Middle income,5678540888,2982209870
NAC,North America,364290258,299348798
INX,Not classified,..,..
OED,OECD members,1303529456,1050557502
OSS,Other small states,30758989,19106876
PSS,Pacific island small states,2457367,952999
PST,Post-demographic dividend,1109997273,902213494
PRE,Pre-demographic dividend,919485393,379075795
SST,Small states,40575321,23827617
SAS,South Asia,1814388744,616753576
TSA,South Asia (IDA & IBRD),1814388744,616753576
SSF,Sub-Saharan Africa,1078306520,433229303
SSA,Sub-Saharan Africa (excluding high income),1078209758,433174448
TSS,Sub-Saharan Africa (IDA & IBRD countries),1078306520,433229303
UMC,Upper middle income,2655635719,1757694779
WLD,World,7594270356,4196356648
